品牌名称,优惠金额,金额分类,使用限制分类,规则详细说明
,满9.9减9,其它金额,其它限制,9.9自营免邮券丨京东快递
,满100减50,其它金额,其它限制,50元面板定制商品券
,满5000减200,其它金额,其它限制,200元运费券 | BOM下单专享
,满30000减1000,其它金额,其它限制,海外代购TI.COM渠道优惠券
,满15000减450,其它金额,其它限制,海外代购TI.COM渠道优惠券
,满20000减300,其它金额,其它限制,300元海外代购券
,满20000减200,其它金额,其它限制,200元合作库存专属商品券
,满5000减150,其它金额,其它限制,海外代购TI.COM渠道优惠券
,满12000减100,其它金额,其它限制,100元合作库存专属商品券
,满100减30,其它金额,其它限制,30元BOM下单专享券
,满50减25,其它金额,其它限制,25元工业品新客首单券
JIERR(捷而瑞),满16减15,满16减15,其它限制,15元捷而瑞品牌商品券
HONOR(荣誉),满21减20,满21减20,品牌新人,<品牌新人>20元荣誉品牌商品券
ChengTao(诚韬),满21减20,满21减20,其它限制,20元诚韬品牌商品券
HENIPER(恒浦),满100减20,其它金额,其它限制,20元恒浦品牌商品券
KYX(凯越翔),满100减20,其它金额,其它限制,20元凯越翔品牌商品券
RealChip(正芯半导体),满500减20,其它金额,其它限制,20元正芯半导体品牌商品券
LGE(鲁光),满16减15,满16减15,其它限制,15元鲁光品牌商品券
APSEMI(先进光),满16减15,满16减15,其它限制,15元先进光品牌商品券
STE(松田),满16减15,满16减15,其它限制,15元松田品牌商品券
SUPSiC(国晶微半导体),满16减15,满16减15,其它限制,15元国晶微半导体品牌商品券
SRD(圣融达),满16减15,满16减15,其它限制,15元圣融达品牌商品券
Gyunrui(云睿),满16减15,满16减15,其它限制,15元云睿品牌商品券
cjiang(长江微电),满16减15,满16减15,品牌新人,<品牌新人>15元长江微电品牌商品券
FOSAN(富捷/富信),满16减15,满16减15,其它限制,15元富信品牌商品券
HOAUC(华宇创),满16减15,满16减15,品牌新人,<品牌新人>15元华宇创品牌商品券
BZCN(博众电气),满16减15,满16减15,其它限制,15元博众电气品牌商品券
G-Switch(品赞),满16减15,满16减15,其它限制,15元品赞品牌商品券
同晶,满16减15,满16减15,品牌新人,<品牌新人>15元同晶品牌指定类目商品券
GOODWORK(固得沃克),满16减15,满16减15,其它限制,15元固得沃克品牌商品券
CTR(长泰尔电子),满20减15,其它金额,品牌新人,<品牌新人>15元长泰尔电子品牌商品券
HTCSEMI(海天芯),满16减15,满16减15,其它限制,15元海天芯品牌商品券
MDD(辰达半导体),满16减15,满16减15,品牌新人,<品牌新人>15元MDD品牌商品券
HC(华橙熊猫),满20减15,其它金额,其它限制,15元华橙熊猫品牌商品券
CH(创慧电子),满16减15,满16减15,其它限制,15元创慧电子品牌商品券
WALSON(万盛),满16减15,满16减15,其它限制,15元万盛品牌商品券
SCTF(星通时频),满16减15,满16减15,其它限制,15元星通时频品牌商品券
FUXINSEMI(富芯森美),满16减15,满16减15,其它限制,15元富芯森美品牌商品券
KEXIN(科信),满16减15,满16减15,品牌新人,<品牌新人>15元科信品牌商品券
suntek(洺太电子),满16减15,满16减15,品牌新人,<品牌新人>15元洺太电子品牌商品券
INGHAi(赢海),满16减15,满16减15,品牌新人,<品牌新人>15元赢海品牌商品券
Milliohm(毫欧),满16减15,满16减15,商城新人,<商城新人>15元毫欧品牌商品券
TECH PUBLIC(台舟),满16减15,满16减15,其它限制,15元台舟品牌商品券
WF(伟烽),满16减15,满16减15,其它限制,15元伟烽品牌商品券
Hongda(泓达),满30减15,其它金额,其它限制,15元泓达品牌商品券
Ziisor(致哲),满50减15,其它金额,其它限制,15元致哲品牌商品券
YXC(扬兴晶振),满16减15,满16减15,品牌新人,<品牌新人>15元扬兴晶振品牌商品券
ARK(方舟微),满16减15,满16减15,其它限制,15元方舟微品牌指定类目商品券
DOINGTER(杜因特),满16减15,满16减15,其它限制,15元杜因特品牌商品券
TCWIN(天成),满16减15,满16减15,品牌新人,<品牌新人>15元天成品牌商品券
DLL(德利),满20减15,其它金额,其它限制,15元德利品牌商品券
OSEN(欧芯),满100减15,其它金额,其它限制,15元欧芯品牌商品券
BXCONN(宝讯),满16减15,满16减15,其它限制,15元宝讯品牌商品券
UMaxconn(友贸),满16减15,满16减15,其它限制,15元友贸品牌商品券
HanElectricity(瀚源),满16减15,满16减15,其它限制,15元瀚源品牌商品券
MAX(迈旭),满16减15,满16减15,其它限制,15元迈旭品牌商品券
XUNPU(讯普),满16减15,满16减15,品牌新人,<品牌新人>15元讯普品牌商品券
JARSON(伽盛),满16减15,满16减15,品牌新人,<品牌新人>15元伽盛品牌首单商品券
Huixin(慧芯),满16减15,满16减15,品牌新人,<品牌新人>15元慧芯品牌首单商品券
Dersonic(德尔创),满16减15,满16减15,其它限制,15元德尔创品牌商品券
Zhongdi(众迪),满16减15,满16减15,其它限制,15元众迪品牌商品券
Zhengxin(正芯),满16减15,满16减15,其它限制,15元正芯品牌商品券
ZHIDE(志得),满20减15,其它金额,其它限制,15元志得品牌商品券
LXWCONN(连兴旺电子),满16减15,满16减15,其它限制,15元连兴旺电子品牌商品券
Lucki(蓝晶),满16减15,满16减15,其它限制,15元蓝晶品牌商品券
KUU,满16减15,满16减15,品牌新人,<品牌新人>15元KUU品牌商品券
YONGYUTAI(永裕泰),满16减15,满16减15,品牌新人,<品牌新人>15元永裕泰品牌商品券
CX(长兴),满16减15,满16减15,其它限制,15元长兴品牌商品券
XTALTQ(恒晶科技),满16减15,满16减15,品牌新人,<品牌新人>15元恒晶科技品牌商品券
AM(安美),满16减15,满16减15,商城新人,<商城新人>15元安美品牌商品券
Starwave(思大),满16减15,满16减15,其它限制,15元思大品牌商品券
JTD(晶泰达),满16减15,满16减15,其它限制,15元晶泰达品牌商品券
GODETEK(皋德科技),满20减15,其它金额,其它限制,15元皋德科技品牌商品券
Sunltech(顺磁),满16减15,满16减15,其它限制,15元顺磁品牌商品券
韩国韩荣,满16减15,满16减15,其它限制,15元韩国韩荣品牌商品券
Huiyuan crystal(惠源晶工),满30减15,其它金额,其它限制,15元惠源晶工品牌商品券
MagnaChip(美格纳),满16减15,满16减15,其它限制,15元美格纳品牌商品券
MP(美禄科技),满16减15,满16减15,其它限制,15元美禄科技品牌商品券
HGC(深圳汉芯),满16减15,满16减15,其它限制,15元深圳汉芯品牌商品券
JILN(锦凌),满16减15,满16减15,品牌新人,<品牌新人>15元锦凌品牌商品券
SUNGMUN(韩国星炆电子),满16减15,满16减15,品牌新人,<品牌新人>15元韩国星炆电子品牌商品券
Artinchip(匠芯创),满16减15,满16减15,品牌新人,<品牌新人>15元匠芯创品牌商品券
HenryTech(恒利泰),满16减15,满16减15,其它限制,15元恒利泰品牌商品券
深海电子,满16减15,满16减15,品牌新人,<品牌新人>15元深海电子品牌商品券
HDGC(华德共创),满16减15,满16减15,其它限制,15元华德共创品牌商品券
FTR(乔光电子),满30减15,其它金额,其它限制,15元乔光电子品牌商品券
精拓金,满16减15,满16减15,其它限制,15元精拓金品牌商品券
WingTAT(格林柏),满16减15,满16减15,其它限制,15元格林柏品牌商品券
MEGSINE(兆讯),满30减15,其它金额,其它限制,15元兆讯品牌商品券
Silicore(芯谷),满100减15,其它金额,其它限制,15元芯谷品牌商品券
SAMZO(三佐),满16减15,满16减15,其它限制,15元三佐品牌商品券
cntitle(中戈泰斗),满16减15,满16减15,其它限制,15元中戈泰斗品牌商品券
Tudi(钍地半导体),满16减15,满16减15,其它限制,15元钍地半导体品牌商品券
Full-Way(四方杰芯),满16减15,满16减15,其它限制,15元四方杰芯品牌商品券
DIANWEI(钿威科技),满16减15,满16减15,其它限制,15元钿威科技品牌商品券
LCKELEC(联晟欣),满16减15,满16减15,其它限制,15元联晟欣品牌商品券
SDAPO(达普),满30减15,其它金额,其它限制,15元达普品牌商品券
HH(辉焕),满16减15,满16减15,其它限制,15元辉焕品牌商品券
Slkor(萨科微),满20减15,其它金额,其它限制,15元萨科微品牌商品券
晶扬电子,满16减15,满16减15,品牌新人,<品牌新人>15元晶扬电子品牌商品券
Xinyangze(鑫扬泽),满16减15,满16减15,其它限制,15元鑫扬泽品牌商品券
KANGNEX(康奈克斯电气),满16减15,满16减15,品牌新人,<品牌新人>15元康奈克斯电气品牌指定类目商品券
巴丁微,满30减15,其它金额,其它限制,15元巴丁微品牌商品券
AnBon(安邦),满16减15,满16减15,其它限制,15元安邦品牌商品券
Yxcon(宇熙精密),满16减15,满16减15,其它限制,15元宇熙精密品牌商品券
众驰电子,满16减15,满16减15,其它限制,15元众驰电子品牌商品券
Silverlight(银月光),满16减15,满16减15,品牌新人,<品牌新人>15元银月光品牌首单商品券
ROCPU Switches(台普),满16减15,满16减15,其它限制,15元台普品牌商品券
皇捷,满16减15,满16减15,品牌新人,<品牌新人>15元皇捷品牌商品券
LEADER(立得),满16减15,满16减15,品牌新人,<品牌新人>15元立得品牌商品券
JXTCONN(聚兴泰),满16减15,满16减15,其它限制,15元聚兴泰品牌商品券
chipfountain(芯涛微),满16减15,满16减15,其它限制,15元芯涛微品牌商品券
CCX(晁禾),满16减15,满16减15,其它限制,15元晁禾品牌商品券
MPS(芯源),满16减15,满16减15,品牌新人,<品牌新人>15元MPS品牌商品券
BHFUSE(佰宏),满16减15,满16减15,其它限制,15元佰宏品牌指定类目商品券
Megastar(兆星),满16减15,满16减15,其它限制,15元兆星品牌商品券
Bossie(博锡),满16减15,满16减15,其它限制,15元博锡品牌商品券
Hichips(智芯),满16减15,满16减15,品牌新人,<品牌新人>15元智芯品牌商品券
XYECONN(辛译),满16减15,满16减15,其它限制,15元辛译品牌商品券
Leiditech(雷卯电子),满16减15,满16减15,其它限制,15元雷卯电子品牌商品券
Hallwee(霍尔微电子),满16减15,满16减15,其它限制,15元霍尔微电子品牌商品券
ZE(增益),满16减15,满16减15,其它限制,15元增益品牌商品券
worldsemi,满16减15,满16减15,其它限制,15元worldsemi品牌商品券
康深,满16减15,满16减15,其它限制,15元康深品牌商品券
Semiwell(矽门微),满16减15,满16减15,其它限制,15元矽门微品牌商品券
国星光电,满16减15,满16减15,品牌新人,<品牌新人>15元国星光电品牌商品券
LUTE(陆特),满16减15,满16减15,其它限制,15元陆特品牌商品券
Siproin(上海矽朋),满16减15,满16减15,其它限制,15元上海矽朋品牌商品券
yezhan(业展),满16减15,满16减15,其它限制,15元业展品牌商品券
SUNLIGHT(光华),满16减15,满16减15,其它限制,15元光华品牌商品券
ReSine PS(瑞鑫),满16减15,满16减15,其它限制,15元瑞鑫品牌商品券
TWGMC(迪嘉),满16减15,满16减15,其它限制,15元迪嘉品牌商品券
MSKSEMI(美森科),满16减15,满16减15,其它限制,15元美森科品牌商品券
SPTECH(深圳质超),满20减15,其它金额,其它限制,15元深圳质超品牌商品券
RealChip(正芯半导体),满16减15,满16减15,品牌新人,<品牌新人>15元正芯半导体品牌商品券
REASUNOS(瑞森半导体),满20减15,其它金额,其它限制,15元瑞森半导体品牌商品券
CHIN-BAN(勤本),满16减15,满16减15,其它限制,15元勤本品牌指定类目商品券
Nyfea(徕飞),满16减15,满16减15,其它限制,15元徕飞品牌商品券
HMTCONN(华明通),满16减15,满16减15,其它限制,15元华明通品牌商品券
CENKER(岑科),满20减15,其它金额,其它限制,15元岑科品牌商品券
MiRelay(米高莱),满20减15,其它金额,其它限制,15元米高莱品牌商品券
QLRELAY,满20减15,其它金额,其它限制,15元QLRELAY品牌商品券
COILMX(迈翔科技),满16减15,满16减15,品牌新人,<品牌新人>15元迈翔科技品牌商品券
FC(方成),满100减15,其它金额,其它限制,15元方成品牌商品券
XINGLIGHT(成兴光),满20减15,其它金额,其它限制,15元成兴光品牌商品券
JSMSEMI(杰盛微),满16减15,满16减15,其它限制,15元杰盛微品牌商品券
CND-tek(磁联达),满16减15,满16减15,其它限制,15元磁联达品牌商品券
TFSS(德律风根),满16减15,满16减15,其它限制,15元德律风根品牌商品券
TPOWER(天源),满16减15,满16减15,其它限制,15元天源品牌商品券
JETEKPS(健特),满16减15,满16减15,品牌新人,<品牌新人>15元健特品牌首单商品券
LKWIC(瓴科微),满30减15,其它金额,其它限制,15元瓴科微品牌商品券
NYBOXING(尼博星),满16减15,满16减15,其它限制,15元尼博星品牌商品券
YFW(佑风微),满16减15,满16减15,品牌新人,<品牌新人>15元佑风微品牌商品券
NH(纽航),满16减15,满16减15,其它限制,15元纽航品牌商品券
JUXING(钜兴),满16减15,满16减15,其它限制,15元钜兴品牌商品券
SINEDEVICE(宇宏微),满16减15,满16减15,其它限制,15元宇宏微品牌商品券
XUMAO(旭茂微),满16减15,满16减15,其它限制,15元旭茂微品牌商品券
TUOZHAN(拓展光电),满16减15,满16减15,其它限制,15元拓展光电品牌商品券
欧思科光电,满16减15,满16减15,其它限制,15元欧思科光电品牌商品券
Amicc(欧密格光电),满20减15,其它金额,其它限制,15元欧密格光电品牌商品券
SUNMATE(森美特),满16减15,满16减15,品牌新人,<品牌新人>15元森美特品牌商品券
JWD(经纬达),满30减15,其它金额,其它限制,15元经纬达品牌商品券
SHIKUES(时科),满16减15,满16减15,品牌新人,<品牌新人>15元时科品牌商品券
Silicontra(硅传科技),满30减15,其它金额,其它限制,15元硅传科技品牌商品券
YJYCOIN(益嘉源),满16减15,满16减15,品牌新人,<品牌新人>15元益嘉源品牌商品券
TOGIALED(统佳),满16减15,满16减15,其它限制,15元统佳品牌商品券
AOTE(奥特),满20减15,其它金额,其它限制,15元奥特品牌商品券
Hengtuo(恒拓电子),满20减15,其它金额,其它限制,15元恒拓电子品牌商品券
TKD(泰晶),满16减15,满16减15,其它限制,15元泰晶品牌商品券
DreamLNK(骏晔科技),满16减15,满16减15,其它限制,15元骏晔科技品牌商品券
ABC(千如),满16减15,满16减15,品牌新人,<品牌新人>15元千如品牌商品券
HANBO(汉博),满16减15,满16减15,其它限制,15元汉博品牌商品券
hanxia(韩下),满16减15,满16减15,其它限制,15元韩下品牌商品券
SOFNG(硕方),满16减15,满16减15,其它限制,15元硕方品牌商品券
XFCN(兴飞),满16减15,满16减15,其它限制,15元兴飞品牌商品券
Liown(里阳半导体),满16减15,满16减15,其它限制,15元里阳半导体品牌商品券
ISOMICRON(安芯微半导体),满16减15,满16减15,其它限制,15元安芯微半导体品牌商品券
WXNSIC(国硅集成),满16减15,满16减15,其它限制,15元国硅集成品牌商品券
saiya(赛亚),满30减15,其它金额,其它限制,15元赛亚品牌商品券
Semiment(赛卓),满23减15,其它金额,其它限制,15元赛卓品牌商品券
TDD(台冠电子),满16减15,满16减15,其它限制,15元台冠电子品牌商品券
ECE(百容),满25减15,其它金额,其它限制,15元百容品牌商品券
HYP(鸿源精密),满25减15,其它金额,其它限制,15元鸿源精密品牌商品券
CAX(创都),满16减15,满16减15,其它限制,15元创都品牌商品券
ceaiya(柯爱亚),满16减15,满16减15,品牌新人,<品牌新人>15元柯爱亚品牌商品券
LanTu Micro(蓝图微电),满16减15,满16减15,其它限制,15元蓝图微电品牌商品券
SXN(顺翔诺),满16减15,满16减15,其它限制,15元顺翔诺品牌商品券
USAKRO(美韩),满16减15,满16减15,其它限制,15元美韩品牌商品券
ZHHXDZ(海芯电子),满20减15,其它金额,其它限制,15元海芯电子品牌商品券
JMEconn(文章济美),满16减15,满16减15,其它限制,15元文章济美品牌商品券
SM Switch,满16减15,满16减15,其它限制,15元SM Switch品牌商品券
FG(富港),满16减15,满16减15,其它限制,15元富港品牌商品券
MEIHUA(美华),满16减15,满16减15,其它限制,15元美华品牌商品券
BORN(伯恩半导体),满16减15,满16减15,品牌新人,<品牌新人>15元伯恩半导体品牌商品券
SHETIME(高钺达),满16减15,满16减15,其它限制,15元高钺达品牌商品券
SOREDE(索瑞达),满16减15,满16减15,其它限制,15元索瑞达品牌商品券
YTL(亚特联),满16减15,满16减15,其它限制,15元亚特联品牌商品券
PROD(谱罗德),满16减15,满16减15,品牌新人,<品牌新人>15元谱罗德品牌首单商品券
DEXU(德旭电子),满16减15,满16减15,其它限制,15元德旭电子品牌商品券
XCH(旭昌辉),满16减15,满16减15,其它限制,15元旭昌辉品牌商品券
JBL(金比莱),满30减15,其它金额,其它限制,15元金比莱品牌商品券
FAUKU(高芯电子),满16减15,满16减15,其它限制,15元高芯电子品牌商品券
HD(浩都频率),满16减15,满16减15,品牌新人,<品牌新人>15元浩都频率品牌商品券
SOSET(索斯特),满16减15,满16减15,品牌新人,<品牌新人>15元索斯特品牌商品券
HCI(杭晶),满16减15,满16减15,其它限制,15元杭晶品牌商品券
SAE(世盟/世爱),满16减15,满16减15,其它限制,15元世盟/世爱品牌商品券
NJGW(南京国微),满20减15,其它金额,其它限制,15元南京国微品牌商品券
WIRELESS(维尔乐思),满30减15,其它金额,其它限制,15元维尔乐思品牌商品券
WINSOK(微硕),满16减15,满16减15,其它限制,15元微硕品牌商品券
Existar(毅芯达),满16减15,满16减15,品牌新人,<品牌新人>15元毅芯达品牌商品券
Coilank(驰兴电感),满16减15,满16减15,其它限制,15元驰兴电感品牌商品券
EG(屹晶微),满16减15,满16减15,商城新人,<商城新人>15元屹晶微品牌商品券
TDPOWER(腾达电源),满16减15,满16减15,商城新人,<商城新人>15元腾达电源品牌商品券
DEALON(德艺隆),满16减15,满16减15,品牌新人,<品牌新人>15元德艺隆品牌商品券
Mysentech(敏源传感),满16减15,满16减15,其它限制,15元敏源传感品牌商品券
国芯佳品,满16减15,满16减15,其它限制,15元国芯佳品品牌商品券
XBLW(芯伯乐),满16减15,满16减15,其它限制,15元芯伯乐品牌商品券
XR(祥如),满16减15,满16减15,其它限制,15元祥如品牌商品券
SRT(斯瑞特),满16减15,满16减15,其它限制,15元斯瑞特品牌商品券
HUAXIN(华昕),满16减15,满16减15,品牌新人,<品牌新人>15元华昕品牌指定类目商品券
JS(钜硕电子),满16减15,满16减15,其它限制,15元钜硕电子品牌商品券
MINTRON(明硕),满16减15,满16减15,其它限制,15元明硕品牌商品券
EVERCOM(恒连),满16减15,满16减15,其它限制,15元恒连品牌商品券
BAT WIRELESS(蝙蝠无线),满16减15,满16减15,其它限制,15元蝙蝠无线品牌商品券
TROQ(创捷),满16减15,满16减15,其它限制,15元创捷品牌商品券
PAKER(派克微),满16减15,满16减15,其它限制,15元派克微品牌商品券
HRE(芯声),满16减15,满16减15,商城新人,<商城新人>15元芯声品牌商品券
XKB Connection(中国星坤),满16减15,满16减15,其它限制,15元中国星坤品牌商品券
SURGING(绍鑫),满16减15,满16减15,其它限制,15元绍鑫品牌商品券
台湾陆海,满16减15,满16减15,其它限制,15元台湾陆海品牌商品券
