品牌名称,优惠金额,金额分类,使用限制分类,规则详细说明
XFCN(兴飞),满200减30,其它金额,其它限制,30元兴飞品牌商品券
Liown(里阳半导体),满200减30,其它金额,其它限制,30元里阳半导体品牌商品券
WXNSIC(国硅集成),满200减30,其它金额,其它限制,30元国硅集成品牌商品券
USAKRO(美韩),满200减30,其它金额,其它限制,30元美韩品牌商品券
SM Switch,满200减30,其它金额,其它限制,30元SM Switch品牌商品券
SHOU HAN(首韩),满500减30,其它金额,其它限制,30元首韩品牌商品券
FG(富港),满200减30,其它金额,其它限制,30元富港品牌商品券
SOREDE(索瑞达),满200减30,其它金额,其它限制,30元索瑞达品牌商品券
XCH(旭昌辉),满200减30,其它金额,其它限制,30元旭昌辉品牌商品券
YWF(宇文发),满200减30,其它金额,其它限制,30元宇文发品牌商品券
SOSET(索斯特),满200减30,其它金额,其它限制,30元索斯特品牌商品券
HCI(杭晶),满200减30,其它金额,其它限制,30元杭晶品牌商品券
NJGW(南京国微),满200减30,其它金额,其它限制,30元南京国微品牌商品券
EVERCOM(恒连),满200减30,其它金额,其它限制,30元恒连品牌商品券
YJX(雅晶鑫),满200减30,其它金额,其它限制,30元雅晶鑫品牌指定类目商品券
MetalLions(美铼),满200减30,其它金额,其它限制,30元美铼品牌商品券
LinkMems(聆麦声学),满200减30,其它金额,其它限制,30元聆麦声学品牌商品券
everanalog(申风),满200减30,其它金额,其它限制,30元申风品牌商品券
Yuandi(元迪),满300减30,其它金额,其它限制,30元元迪品牌商品券
LX(灵星芯微),满200减30,其它金额,其它限制,30元灵星芯微品牌商品券
XNRUSEMI(新锐),满300减30,其它金额,其它限制,30元新锐品牌商品券
Tudi(钍地半导体),满100减30,其它金额,其它限制,30元钍地半导体品牌商品券
HOOYA(皓宇电子),满50减25,其它金额,其它限制,25元皓宇电子品牌商品券
SAMZO(三佐),满100减25,其它金额,其它限制,25元三佐品牌商品券
Cmos(广东场效应半导体),满100减25,其它金额,其它限制,25元广东场效应半导体品牌商品券
LR(朗瑞),满50减25,其它金额,其它限制,25元朗瑞品牌商品券
JIERONG(捷容),满26减25,其它金额,其它限制,25元捷容品牌商品券
Truesemi(信安),满100减25,其它金额,其它限制,25元信安品牌商品券
HC(虹成电子),满21减20,满21减20,其它限制,20元虹成电子品牌商品券
JDTfuse(集电通),满21减20,满21减20,其它限制,20元集电通品牌商品券
HXY MOSFET(华轩阳电子),满21减20,满21减20,其它限制,20元华轩阳电子品牌商品券
EVISUN(易成),满21减20,满21减20,其它限制,20元易成品牌商品券
suntek(洺太电子),满100减20,其它金额,其它限制,20元洺太电子品牌商品券
Legion(六钧),满30减20,其它金额,其它限制,20元六钧品牌商品券
CBI(创基),满21减20,满21减20,品牌新人,<品牌新人>20元创基品牌商品券
kinghelm(金航标),满21减20,满21减20,商城新人,<商城新人>20元金航标品牌商品券
JLYE(晶力源),满21减20,满21减20,其它限制,20元晶力源品牌指定类目商品券
CX(长兴),满30减20,其它金额,其它限制,20元长兴品牌商品券
CAZN(正成),满21减20,满21减20,其它限制,20元正成品牌商品券
YWF(宇文发),满21减20,满21减20,其它限制,20元宇文发品牌商品券
皇捷,满100减20,其它金额,其它限制,20元皇捷品牌商品券
R+O(宏嘉诚),满21减20,满21减20,品牌新人,<品牌新人>20元宏嘉诚品牌商品券
JXTCONN(聚兴泰),满100减20,其它金额,其它限制,20元聚兴泰品牌商品券
XYECONN(辛译),满100减20,其它金额,其它限制,20元辛译品牌商品券
MK(米客方德),满21减20,满21减20,其它限制,20元米客方德品牌商品券
SUNLIGHT(光华),满100减20,其它金额,其它限制,20元光华品牌商品券
ReSine PS(瑞鑫),满100减20,其它金额,其它限制,20元瑞鑫品牌商品券
YLPTEC(易川),满21减20,满21减20,其它限制,20元易川品牌商品券
BNstar(比诺星),满21减20,满21减20,品牌新人,<品牌新人>20元比诺星品牌商品券
HYP(鸿源精密),满200减20,其它金额,其它限制,20元鸿源精密品牌商品券
LanTu Micro(蓝图微电),满100减20,其它金额,其它限制,20元蓝图微电品牌商品券
ZHHXDZ(海芯电子),满100减20,其它金额,其它限制,20元海芯电子品牌商品券
SHOU HAN(首韩),满21减20,满21减20,其它限制,20元首韩品牌商品券
SHETIME(高钺达),满100减20,其它金额,其它限制,20元高钺达品牌商品券
ZGWD(温达电子),满21减20,满21减20,品牌新人,<品牌新人>20元温达电子品牌商品券
minos(迈诺斯),满100减20,其它金额,其它限制,20元迈诺斯品牌商品券
SCTF(星通时频),满200减20,其它金额,其它限制,20元星通时频品牌商品券
DEALON(德艺隆),满200减20,其它金额,其它限制,20元德艺隆品牌商品券
LR(朗瑞),满21减20,满21减20,其它限制,20元朗瑞品牌商品券
MINTRON(明硕),满50减20,其它金额,其它限制,20元明硕品牌商品券
AGMSEMI(芯控源),满100减20,其它金额,其它限制,20元芯控源品牌商品券
,满1减6,其它金额,其它限制,运费券丨京东快递
,满11减10,其它金额,其它限制,工业品商品券
,满100减40,其它金额,其它限制,BOM首单现货券
,满0减30,其它金额,其它限制,面板定制无门槛券
ST(意法半导体),满10000减150,其它金额,其它限制,ST品牌商品券
TI(德州仪器),满10000减100,其它金额,其它限制,TI品牌商品券
ADI(亚德诺),满5000减200,其它金额,其它限制,ADI品牌商品券
ADI(亚德诺)/MAXIM(美信),满2000减80,其它金额,其它限制,美信品牌商品券
Nexperia(安世),满5000减100,其它金额,其它限制,100元安世品牌商品券
VISHAY(威世),满6000减180,其它金额,其它限制,180元威世品牌商品券
EVERLIGHT(亿光),满5000减100,其它金额,其它限制,100元亿光品牌商品券
Broadcom(博通),满6000减150,其它金额,其它限制,150元博通品牌商品券
ST(意法半导体),满50000减800,其它金额,其它限制,800元ST品牌商品券
GigaDevice(兆易创新),满30000减600,其它金额,其它限制,600元兆易创新品牌商品券
BOURNS,满5000减100,其它金额,其它限制,100元BOURNS品牌商品券
AISHI(艾华集团),满4000减100,其它金额,其它限制,100元艾华集团品牌商品券
MaxLinear(迈凌),满5000减120,其它金额,其它限制,120元迈凌品牌商品券
Rubycon(红宝石),满4000减100,其它金额,其它限制,100元红宝石品牌商品券
SHARP(夏普),满5000减100,其它金额,其它限制,100元夏普品牌商品券
HTC,满5000减100,其它金额,其它限制,100元HTC品牌商品券
FTDI(飞特帝亚),满10000减200,其它金额,其它限制,200元飞特帝亚品牌商品券
ROHM(罗姆),满5000减200,其它金额,其它限制,200元罗姆品牌商品券
Mini-Circuits,满5000减200,其它金额,其它限制,200元Mini-Circuits品牌商品券
Honeywell(霍尼韦尔),满10000减200,其它金额,其它限制,200元霍尼韦尔品牌商品券
SKYWORKS/SILICON LABS(芯科),满5000减100,其它金额,其它限制,100元芯科品牌商品券
KEMET(基美),满5000减150,其它金额,其它限制,150元基美品牌商品券
TAIYO YUDEN(太诱),满5000减150,其它金额,其它限制,150元太诱品牌商品券
Coilcraft(线艺),满5000减150,其它金额,其它限制,150元线艺品牌商品券
Nichicon(尼吉康),满5000减150,其它金额,其它限制,150元尼吉康品牌商品券
NCC(日本贵弥功),满5000减150,其它金额,其它限制,150元日本贵弥功品牌商品券
Seiko(精工),满5000减150,其它金额,其它限制,150元精工品牌商品券
PROTEK,满2000减50,其它金额,其它限制,50元PROTEK品牌商品券
KDS(大真空),满2000减50,其它金额,其它限制,50元大真空品牌商品券
pSemi(游隼半导体),满2000减50,其它金额,其它限制,50元游隼半导体品牌商品券
,满39减10,其它金额,其它限制,10元商品券 | 工业品
HC(虹成电子),满100减0,其它金额,其它限制,虹成电子品牌9折折扣券
BXCONN(宝讯),满1000减0,其它金额,其它限制,宝讯品牌9.3折折扣券
SXN(顺翔诺),满5000减618,其它金额,其它限制,618元顺翔诺品牌商品券
3PEAK(思瑞浦),满1000减200,其它金额,其它限制,200元思瑞浦品牌商品券
KANGNEX(康奈克斯电气),满1000减120,其它金额,其它限制,120元康奈克斯电气品牌商品券
YXC(扬兴晶振),满2000减120,其它金额,其它限制,120元扬兴晶振品牌商品券
HXY MOSFET(华轩阳电子),满1000减100,其它金额,其它限制,100元华轩阳电子品牌商品券
巴丁微,满1000减100,其它金额,其它限制,100元巴丁微品牌商品券
WF(伟烽),满1000减100,其它金额,其它限制,100元伟烽品牌商品券
康深,满1000减100,其它金额,其它限制,100元康深品牌商品券
ChengTao(诚韬),满1000减100,其它金额,其它限制,100元诚韬品牌商品券
UMaxconn(友贸),满1000减100,其它金额,其它限制,100元友贸品牌商品券
EVISUN(易成),满1000减80,其它金额,其它限制,80元易成品牌商品券
,满500减50,其它金额,其它限制,50元商品券 | 工业品
SRD(圣融达),满200减50,其它金额,其它限制,50元圣融达品牌商品券
3PEAK(思瑞浦),满100减50,其它金额,其它限制,50元思瑞浦品牌商品券
ROCPU Switches(台普),满200减50,其它金额,其它限制,50元台普品牌商品券
AnBon(安邦),满500减50,其它金额,其它限制,50元安邦品牌商品券
JARSON(伽盛),满200减50,其它金额,其它限制,50元伽盛品牌商品券
Leiditech(雷卯电子),满500减50,其它金额,其它限制,50元雷卯电子品牌商品券
PAKER(派克微),满300减50,其它金额,其它限制,50元派克微品牌商品券
,满200减30,其它金额,其它限制,30元商品券 | 工业品
YXC(扬兴晶振),满600减30,其它金额,其它限制,30元扬兴晶振品牌商品券
Sunltech(顺磁),满300减30,其它金额,其它限制,30元顺磁品牌商品券
BXCONN(宝讯),满200减30,其它金额,其它限制,30元宝讯品牌商品券
WF(伟烽),满200减30,其它金额,其它限制,30元伟烽品牌商品券
MK(米客方德),满200减30,其它金额,其它限制,30元米客方德品牌商品券
CTR(长泰尔电子),满26减25,其它金额,品牌新人,<品牌新人>25元长泰尔电子品牌商品券
kinghelm(金航标),满100减20,其它金额,其它限制,20元金航标品牌商品券
JMEconn(文章济美),满100减20,其它金额,其它限制,20元文章济美品牌商品券
Dersonic(德尔创),满100减20,其它金额,其它限制,20元德尔创品牌商品券
巴丁微,满16减15,满16减15,品牌新人,<品牌新人>15元巴丁微品牌商品券
KANGNEX(康奈克斯电气),满16减15,满16减15,其它限制,15元康奈克斯电气品牌商品券
kinghelm(金航标),满16减15,满16减15,商城新人,<商城新人>15元金航标品牌商品券
,满200减20,其它金额,其它限制,20元工业品运费券
,满100减10,其它金额,其它限制,10元工业品运费券
micsig(麦科信),满10000减1000,其它金额,其它限制,1000元麦科信品牌工业品券
micsig(麦科信),满5000减500,其它金额,其它限制,500元麦科信品牌工业品券
micsig(麦科信),满3000减300,其它金额,其它限制,300元麦科信品牌工业品券
CHAOCHUANG(超创),满3000减200,其它金额,其它限制,200元超创品牌工业品券
micsig(麦科信),满1000减100,其它金额,其它限制,100元麦科信品牌工业品券
Fjordsense(峡感),满1500减100,其它金额,其它限制,100元峡感品牌工业品券
MyAntenna(摩天射频),满1000减100,其它金额,其它限制,100元摩天射频品牌工业品券
VRK(威尔克),满500减80,其它金额,其它限制,80元威尔克品牌工业品券
,满2000减60,其它金额,其它限制,60元工业品商品券
HOAUC(华宇创),满500减60,其它金额,其它限制,60元华宇创品牌工业品券
JINGXINGTIANCI(净行天磁),满2000减60,其它金额,其它限制,60元净行天磁品牌工业品券
XHHD(新宏辉达),满500减50,其它金额,其它限制,50元新宏辉达品牌工业品券
AMASS(艾迈斯),满1000减50,其它金额,其它限制,50元艾迈斯品牌工业品券
JHT,满1000减50,其它金额,其它限制,50元JHT品牌工业品券
QUICK(快克),满1000减50,其它金额,其它限制,50元快克品牌工业品券
,满1000减30,其它金额,其它限制,30元工业品商品券
VRK(威尔克),满200减30,其它金额,其它限制,30元威尔克品牌工业品券
STEIPU(斯泰普),满1000减30,其它金额,其它限制,30元斯泰普品牌工业品券
YIZHI(逸致),满500减30,其它金额,其它限制,30元逸致品牌工业品券
JXTCONN(聚兴泰),满300减30,其它金额,其它限制,30元聚兴泰品牌工业品券
JINGXINGTIANCI(净行天磁),满1000减30,其它金额,其它限制,30元净行天磁品牌工业品券
SDTRUVAL(信德),满200减30,其它金额,其它限制,30元信德品牌工业品券
MK(米客方德),满1000减30,其它金额,其它限制,30元米客方德品牌工业品券
Recci(锐思),满300减25,其它金额,其它限制,25元锐思品牌工业品券
,满200减20,其它金额,其它限制,20元工业品商品券
YARUN(亚润),满200减20,其它金额,其它限制,20元亚润品牌工业品券
canfeng(灿峰),满200减20,其它金额,其它限制,20元灿峰品牌工业品券
YUFENG(裕峰),满200减20,其它金额,其它限制,20元裕峰品牌工业品券
N-tech(新源鑫),满200减20,其它金额,其它限制,20元新源鑫品牌工业品券
BEIXUNZE(贝迅泽),满100减20,其它金额,其它限制,20元贝迅泽品牌工业品券
MK(米客方德),满100减20,其它金额,其它限制,20元米客方德品牌工业品券
,满500减15,其它金额,其它限制,15元工业品商品券
伊万视波,满100减15,其它金额,其它限制,15元伊万视波品牌工业品券
STEIPU(斯泰普),满16减15,满16减15,品牌新人,<品牌新人>15元斯泰普品牌工业品券
BZXC(博众新材),满16减15,满16减15,品牌新人,<品牌新人>15元博众新材品牌工业品券
yiyuanxny(广东怡远),满16减15,满16减15,品牌新人,<品牌新人>15元广东怡远品牌工业品券
XMXW(芯网),满16减15,满16减15,品牌新人,<品牌新人>15元芯网品牌工业品券
canfeng(灿峰),满16减15,满16减15,其它限制,15元灿峰品牌工业品券
YIZHI(逸致),满16减15,满16减15,其它限制,15元逸致品牌工业品券
JXTCONN(聚兴泰),满16减15,满16减15,其它限制,15元聚兴泰品牌工业品券
HOAUC(华宇创),满16减15,满16减15,其它限制,15元华宇创品牌工业品券
MYOUNG(美阳),满20减15,其它金额,其它限制,15元美阳品牌工业品券
JINGXINGTIANCI(净行天磁),满500减15,其它金额,其它限制,15元净行天磁品牌工业品券
JINGXINGTIANCI(净行天磁),满500减15,其它金额,其它限制,15元净行天磁品牌工业品券
YUFENG(裕峰),满16减15,满16减15,其它限制,15元裕峰品牌工业品券
MyAntenna(摩天射频),满16减15,满16减15,品牌新人,<品牌新人>15元摩天射频品牌工业品券
SDTRUVAL(信德),满16减15,满16减15,其它限制,15元信德品牌工业品券
BASTO(邦士度),满16减15,满16减15,品牌新人,<品牌新人>15元邦士度品牌工业品券
VRK(威尔克),满100减12,其它金额,其它限制,12元威尔克品牌工业品券
,满200减10,其它金额,其它限制,10元工业品商品券
,满50减10,其它金额,其它限制,10元工业品商品券
micsig(麦科信),满11减10,其它金额,其它限制,10元麦科信品牌工业品券
HUIYA(汇亚),满100减10,其它金额,其它限制,10元汇亚品牌工业品券
dytape,满100减10,其它金额,其它限制,10元dytape品牌工业品券
伊万视波,满11减10,其它金额,其它限制,10元伊万视波品牌工业品券
e+erne(伊万仪通),满100减10,其它金额,其它限制,10元伊万仪通品牌工业品券
NDST(诺德斯特),满100减10,其它金额,其它限制,10元诺德斯特品牌工业品券
YARUN(亚润),满100减10,其它金额,其它限制,10元亚润品牌工业品券
FLYOUNG(远阳),满30减10,其它金额,其它限制,10元远阳品牌工业品券
CHAOCHUANG(超创),满30减10,其它金额,其它限制,10元超创品牌工业品券
Omnergy(力佳),满15减10,其它金额,其它限制,10元力佳品牌工业品券
N-tech(新源鑫),满11减10,其它金额,品牌新人,<品牌新人>10元新源鑫品牌工业品券
BEIXUNZE(贝迅泽),满11减10,其它金额,品牌新人,<品牌新人>10元贝迅泽品牌工业品券
Z-TEK(力特),满100减10,其它金额,其它限制,10元力特品牌工业品券
JINGXINGTIANCI(净行天磁),满10减9,其它金额,其它限制,9元净行天磁品牌工业品券
NDST(诺德斯特),满50减8,其它金额,其它限制,8元诺德斯特品牌工业品券
XHHD(新宏辉达),满10减6,其它金额,其它限制,6元新宏辉达品牌工业品券
canfeng(灿峰),满10减6,其它金额,其它限制,6元灿峰品牌工业品券
YUFENG(裕峰),满10减6,其它金额,其它限制,6元裕峰品牌工业品券
VRK(威尔克),满10减5,其它金额,其它限制,5元威尔克品牌工业品券
VRK(威尔克),满50减5,其它金额,其它限制,5元威尔克品牌工业品券
HUIYA(汇亚),满30减5,其它金额,其它限制,5元汇亚品牌工业品券
UOWO(优沃),满30减5,其它金额,其它限制,5元优沃品牌工业品券
dytape,满50减5,其它金额,其它限制,10元dytape品牌工业品券
NDST(诺德斯特),满30减5,其它金额,其它限制,5元诺德斯特品牌工业品券
STEIPU(斯泰普),满50减5,其它金额,其它限制,5元斯泰普品牌工业品券
BZXC(博众新材),满50减5,其它金额,其它限制,5元博众新材品牌工业品券
yiyuanxny(广东怡远),满50减5,其它金额,其它限制,5元广东怡远品牌工业品券
YIYUAN(怡远),满50减5,其它金额,其它限制,5元怡远品牌工业品券
JHT,满100减5,其它金额,其它限制,5元JHT品牌工业品券
BZXC(博众新材),满10减3,其它金额,其它限制,15元博众新材品牌工业品券
yiyuanxny(广东怡远),满10减3,其它金额,其它限制,3元广东怡远品牌工业品券
YIYUAN(怡远),满10减3,其它金额,其它限制,3元怡远品牌工业品券
健策,满27减1,其它金额,其它限制,1元健策品牌工业品券
,满0减30,其它金额,其它限制,30元面板定制新人专享优惠券
,满1000减30,其它金额,其它限制,30元面板定制商品券
,满3000减70,其它金额,其它限制,70元面板定制商品券
,满5000减200,其它金额,其它限制,200元面板定制商品券
,满1000减30,其它金额,其它限制,30元面板定制运费券
,满2000减70,其它金额,其它限制,70元面板定制运费券
,满3000减100,其它金额,其它限制,100元面板定制运费券
,满8000减300,其它金额,其它限制,300元面板定制商品券
,满5000减130,其它金额,其它限制,130元面板定制运费券
,满8000减150,其它金额,其它限制,150元面板定制运费券
,满10000减200,其它金额,其它限制,200元面板定制运费券
,满0减70,其它金额,其它限制,6月~ 8月面板免费打样券
,满0.01减7,其它金额,其它限制,7元天天团运费券丨仅移动端可用
,满20000减200,其它金额,其它限制,<PLUS神券>200元全品类券
,满8000减100,其它金额,其它限制,<PLUS神券>100元全品类券
,满3000减60,其它金额,其它限制,<PLUS神券>60元全品类券
MDD(辰达半导体),满1减0,其它金额,其它限制,<MDD>9.5折PLUS专属券
cjiang(长江微电),满1减0,其它金额,其它限制,<长江微电>9.5折PLUS专属券
XUNDA(讯答),满21减20,满21减20,其它限制,<讯答>20元PLUS专属券
CAZN(正成),满1减0,其它金额,其它限制,<正成>9.5折PLUS专属券
HANBO(汉博),满1减0,其它金额,其它限制,<汉博>9.5折PLUS专属券
SXN(顺翔诺),满1减0,其它金额,其它限制,<顺翔诺>9.5折PLUS专属券
HI-LINK(海凌科),满300减30,其它金额,其它限制,<海凌科>30元PLUS专属券
XUNPU(讯普),满300减30,其它金额,其它限制,<讯普>30元PLUS专属券
Hengtuo(恒拓电子),满21减20,满21减20,其它限制,<恒拓电子>20元PLUS专属券
